id,patron,significado,timestamp,linea_num,mensaje,linea
26,merchantName:,Nombre de la empresa,26/03/19-12:14:30.582,12,merchantName: Tandilense S.R.L. (*I*),[26/03/19-12:14:30.582][ConsoleInterpreter][I]merchantName: Tandilense S.R.L. (*I*)
31,[OCConnection][T][BKO -->],currentStage reporte a back office,26/03/19-15:36:37.683,30,"[BKO -->] {""command"":""purgeLevelDb"",""chargeId"":2619823,""backoffice_id"":4}","[26/03/19-15:36:37.683][OCConnection][T][BKO -->] {""command"":""purgeLevelDb"",""chargeId"":2619823,""backoffice_id"":4}"
39,Carga exitosa para archivo: RL,Tabla RL id:9 - Identificador y versión,26/03/19-15:36:37.682,31,"Carga exitosa para archivo: RL Datos de header: id:9, data_len:48, new_data_len:48, version:2438, crc:55121, registros cargados:4","[26/03/19-15:36:37.682][TcmParametryData][I]Carga exitosa para archivo: RL Datos de header: id:9, data_len:48, new_data_len:48, version:2438, crc:55121, registros cargados:4"
40,Carga exitosa para archivo: AL,Tabla AL id:11 - Identificador y versión,26/03/19-15:36:37.683,32,"Carga exitosa para archivo: AL Datos de header: id:11, data_len:6446, new_data_len:6446, version:19905, crc:41212, registros cargados:293","[26/03/19-15:36:37.683][TcmParametryData][I]Carga exitosa para archivo: AL Datos de header: id:11, data_len:6446, new_data_len:6446, version:19905, crc:41212, registros cargados:293"
41,Carga exitosa para archivo: CO,Tabla CO id:3 - Identificador y versión,26/03/19-15:36:37.692,33,"Carga exitosa para archivo: CO Datos de header: id:3, data_len:2726, new_data_len:2726, version:189, crc:38117, registros cargados:29","[26/03/19-15:36:37.692][TcmParametryData][I]Carga exitosa para archivo: CO Datos de header: id:3, data_len:2726, new_data_len:2726, version:189, crc:38117, registros cargados:29"
42,Carga exitosa para archivo: CD,Tabla CD id:15 - Identificador y versión,26/03/19-15:36:37.692,34,"Carga exitosa para archivo: CD Datos de header: id:15, data_len:0, new_data_len:0, version:64, crc:65535, registros cargados:0","[26/03/19-15:36:37.692][TcmParametryData][I]Carga exitosa para archivo: CD Datos de header: id:15, data_len:0, new_data_len:0, version:64, crc:65535, registros cargados:0"
43,Carga exitosa para archivo: LR,Tabla LR id:23 - Identificador y versión,26/03/19-15:36:37.693,35,"Carga exitosa para archivo: LR Datos de header: id:23, data_len:8520, new_data_len:8520, version:14, crc:18000, registros cargados:1065","[26/03/19-15:36:37.693][TcmParametryData][I]Carga exitosa para archivo: LR Datos de header: id:23, data_len:8520, new_data_len:8520, version:14, crc:18000, registros cargados:1065"
44,Carga exitosa para archivo: RS,Tabla RS id:16 - Identificador y versión,26/03/19-15:36:37.694,36,"Carga exitosa para archivo: RS Datos de header: id:16, data_len:3058, new_data_len:3058, version:75, crc:25775, registros cargados:139","[26/03/19-15:36:37.694][TcmParametryData][I]Carga exitosa para archivo: RS Datos de header: id:16, data_len:3058, new_data_len:3058, version:75, crc:25775, registros cargados:139"
45,Carga exitosa para archivo: GP,Tabla GP id:1 - Identificador y versión,26/03/19-15:36:37.695,37,"Carga exitosa para archivo: GP Datos de header: id:1, data_len:137, new_data_len:137, version:246, crc:28265, registros cargados:1","[26/03/19-15:36:37.695][TcmParametryData][I]Carga exitosa para archivo: GP Datos de header: id:1, data_len:137, new_data_len:137, version:246, crc:28265, registros cargados:1"
46,Carga exitosa para archivo: SG,Tabla SG id:20 - Identificador y versión,26/03/19-15:36:37.697,38,"Carga exitosa para archivo: SG Datos de header: id:20, data_len:33600, new_data_len:33600, version:73, crc:45603, registros cargados:1050","[26/03/19-15:36:37.697][TcmParametryData][I]Carga exitosa para archivo: SG Datos de header: id:20, data_len:33600, new_data_len:33600, version:73, crc:45603, registros cargados:1050"
47,Carga exitosa para archivo: LI,Tabla LI id:18 - Identificador y versión,26/03/19-15:36:37.698,39,"Carga exitosa para archivo: LI Datos de header: id:18, data_len:15120, new_data_len:15120, version:95, crc:60352, registros cargados:180","[26/03/19-15:36:37.698][TcmParametryData][I]Carga exitosa para archivo: LI Datos de header: id:18, data_len:15120, new_data_len:15120, version:95, crc:60352, registros cargados:180"
48,Carga exitosa para archivo: OL,Tabla OL id:10 - Identificador y versión,26/03/19-15:36:37.698,40,"Carga exitosa para archivo: OL Datos de header: id:10, data_len:16, new_data_len:16, version:28, crc:16135, registros cargados:1","[26/03/19-15:36:37.698][TcmParametryData][I]Carga exitosa para archivo: OL Datos de header: id:10, data_len:16, new_data_len:16, version:28, crc:16135, registros cargados:1"
24,[ApplicationProfile][I]========= HW STATUS =========,"Indica estados de EMV, QR, Mk Eprom",26/03/19-16:42:16.299,53,========= HW STATUS =========,[26/03/19-16:42:16.299][ApplicationProfile][I]========= HW STATUS =========
